,timestamp,temperature
201,2015-12-16 03:00:00,8.0
202,2015-12-16 04:00:00,7.6
203,2015-12-16 05:00:00,7.9
204,2015-12-16 06:00:00,8.3
205,2015-12-16 08:00:00,7.2
206,2015-12-16 09:00:00,8.1
207,2015-12-16 10:00:00,9.5
208,2015-12-16 11:00:00,11.0
209,2015-12-16 12:00:00,13.0
210,2015-12-16 13:00:00,13.3
211,2015-12-16 15:00:00,14.8
212,2015-12-16 16:00:00,14.1
213,2015-12-16 17:00:00,11.7
214,2015-12-16 18:00:00,9.4
215,2015-12-16 19:00:00,9.3
216,2015-12-16 20:00:00,8.6
217,2015-12-16 21:00:00,7.9
218,2015-12-16 22:00:00,9.5
219,2015-12-16 23:00:00,8.5
220,2015-12-17 00:00:00,7.8
221,2015-12-17 01:00:00,6.9
222,2015-12-17 02:00:00,6.2
223,2015-12-17 03:00:00,5.8
224,2015-12-17 04:00:00,5.5
225,2015-12-17 05:00:00,4.9
226,2015-12-17 06:00:00,4.8
227,2015-12-17 07:00:00,5.0
228,2015-12-17 08:00:00,5.4
229,2015-12-17 09:00:00,6.5
230,2015-12-17 10:00:00,9.3
231,2015-12-17 11:00:00,12.7
232,2015-12-17 12:00:00,13.6
233,2015-12-17 13:00:00,14.0
234,2015-12-17 14:00:00,14.4
235,2015-12-17 15:00:00,15.0
236,2015-12-17 16:00:00,13.9
237,2015-12-17 17:00:00,11.9
238,2015-12-17 18:00:00,9.5
239,2015-12-17 19:00:00,8.3
240,2015-12-17 20:00:00,7.8
241,2015-12-17 21:00:00,7.3
242,2015-12-17 22:00:00,6.5
243,2015-12-17 23:00:00,6.5
244,2015-12-18 00:00:00,7.4
245,2015-12-18 01:00:00,7.5
246,2015-12-18 02:00:00,8.1
247,2015-12-18 03:00:00,8.2
248,2015-12-18 04:00:00,8.2
249,2015-12-18 05:00:00,7.7
250,2015-12-18 06:00:00,7.5
251,2015-12-18 07:00:00,7.3
252,2015-12-18 08:00:00,7.3
253,2015-12-18 09:00:00,7.6
254,2015-12-18 10:00:00,8.9
255,2015-12-18 11:00:00,10.4
256,2015-12-18 12:00:00,11.7
257,2015-12-18 13:00:00,12.2
258,2015-12-18 14:00:00,13.2
259,2015-12-18 15:00:00,13.7
260,2015-12-18 16:00:00,13.0
261,2015-12-18 17:00:00,11.1
262,2015-12-18 18:00:00,8.8
263,2015-12-18 19:00:00,7.5
264,2015-12-18 21:00:00,6.5
265,2015-12-18 23:00:00,6.3
266,2015-12-19 00:00:00,6.6
267,2015-12-19 01:00:00,6.9
268,2015-12-19 02:00:00,6.7
269,2015-12-19 03:00:00,6.7
270,2015-12-19 04:00:00,6.6
271,2015-12-19 05:00:00,6.6
272,2015-12-19 06:00:00,7.2
273,2015-12-19 07:00:00,7.5
274,2015-12-19 08:00:00,7.3
275,2015-12-19 09:00:00,8.2
276,2015-12-19 10:00:00,9.0
277,2015-12-19 11:00:00,10.1
278,2015-12-19 12:00:00,11.7
279,2015-12-19 13:00:00,13.0
280,2015-12-19 14:00:00,13.6
281,2015-12-19 15:00:00,14.2
282,2015-12-19 16:00:00,13.6
283,2015-12-19 17:00:00,11.7
284,2015-12-19 18:00:00,10.0
285,2015-12-19 19:00:00,9.4
286,2015-12-19 20:00:00,8.9
287,2015-12-19 21:00:00,8.4
288,2015-12-19 22:00:00,8.2
289,2015-12-19 23:00:00,8.7
290,2015-12-20 00:00:00,8.9
291,2015-12-20 01:00:00,8.5
292,2015-12-20 02:00:00,9.4
293,2015-12-20 03:00:00,10.0
294,2015-12-20 04:00:00,9.3
295,2015-12-20 05:00:00,8.8
296,2015-12-20 06:00:00,7.8
297,2015-12-20 07:00:00,7.3
298,2015-12-20 08:00:00,7.4
299,2015-12-20 09:00:00,9.5
300,2015-12-20 10:00:00,12.0
301,2015-12-20 11:00:00,13.3
302,2015-12-20 12:00:00,14.4
303,2015-12-20 13:00:00,15.5
304,2015-12-20 14:00:00,16.1
305,2015-12-20 15:00:00,16.5
306,2015-12-20 16:00:00,15.8
307,2015-12-20 17:00:00,14.7
308,2015-12-20 18:00:00,14.0
309,2015-12-20 19:00:00,13.8
310,2015-12-20 20:00:00,12.7
311,2015-12-20 21:00:00,13.0
312,2015-12-20 22:00:00,12.6
313,2015-12-20 23:00:00,12.1
314,2015-12-21 00:00:00,10.6
315,2015-12-21 01:00:00,9.1
316,2015-12-21 02:00:00,9.4
317,2015-12-21 03:00:00,9.4
318,2015-12-21 04:00:00,9.5
319,2015-12-21 05:00:00,9.6
320,2015-12-21 06:00:00,9.2
321,2015-12-21 07:00:00,9.1
322,2015-12-21 08:00:00,8.9
323,2015-12-21 09:00:00,9.2
324,2015-12-21 10:00:00,10.5
325,2015-12-21 11:00:00,12.3
326,2015-12-21 12:00:00,13.7
327,2015-12-21 13:00:00,14.8
328,2015-12-21 14:00:00,15.5
329,2015-12-21 15:00:00,15.6
330,2015-12-21 16:00:00,14.8
331,2015-12-21 17:00:00,13.2
332,2015-12-21 18:00:00,11.1
333,2015-12-21 19:00:00,9.7
334,2015-12-21 20:00:00,8.8
335,2015-12-21 21:00:00,8.1
336,2015-12-21 22:00:00,7.7
337,2015-12-21 23:00:00,7.1
338,2015-12-22 00:00:00,7.1
339,2015-12-22 01:00:00,7.6
340,2015-12-22 02:00:00,7.9
341,2015-12-22 03:00:00,7.8
342,2015-12-22 04:00:00,7.9
343,2015-12-22 05:00:00,7.9
344,2015-12-22 06:00:00,8.0
345,2015-12-22 07:00:00,7.6
346,2015-12-22 08:00:00,7.3
347,2015-12-22 09:00:00,8.1
348,2015-12-22 10:00:00,9.5
349,2015-12-22 11:00:00,10.8
350,2015-12-22 12:00:00,12.4
351,2015-12-22 13:00:00,13.3
352,2015-12-22 14:00:00,14.0
353,2015-12-22 15:00:00,14.5
354,2015-12-22 16:00:00,13.5
355,2015-12-22 17:00:00,11.2
356,2015-12-22 18:00:00,9.6
357,2015-12-22 19:00:00,8.6
358,2015-12-22 20:00:00,8.0
359,2015-12-22 21:00:00,7.4
360,2015-12-22 22:00:00,7.2
361,2015-12-22 23:00:00,6.8
362,2015-12-23 00:00:00,6.9
363,2015-12-23 01:00:00,7.3
364,2015-12-23 02:00:00,6.8
365,2015-12-23 03:00:00,6.3
366,2015-12-23 04:00:00,7.3
367,2015-12-23 05:00:00,7.4
368,2015-12-23 06:00:00,7.4
369,2015-12-23 07:00:00,7.1
370,2015-12-23 08:00:00,6.9
371,2015-12-23 09:00:00,7.6
372,2015-12-23 10:00:00,9.1
373,2015-12-23 11:00:00,11.3
374,2015-12-23 12:00:00,12.8
375,2015-12-23 13:00:00,14.2
376,2015-12-23 14:00:00,14.5
377,2015-12-23 15:00:00,14.7
378,2015-12-23 16:00:00,14.0
379,2015-12-23 17:00:00,12.2
380,2015-12-23 18:00:00,10.2
381,2015-12-23 19:00:00,9.1
382,2015-12-23 20:00:00,8.5
383,2015-12-23 21:00:00,7.9
384,2015-12-23 22:00:00,7.5
385,2015-12-23 23:00:00,7.9
386,2015-12-24 00:00:00,8.0
387,2015-12-24 01:00:00,7.7
388,2015-12-24 02:00:00,7.5
389,2015-12-24 03:00:00,7.4
390,2015-12-24 04:00:00,8.1
391,2015-12-24 05:00:00,7.4
392,2015-12-24 06:00:00,7.5
393,2015-12-24 07:00:00,7.4
394,2015-12-24 08:00:00,7.2
395,2015-12-24 09:00:00,7.9
396,2015-12-24 10:00:00,9.3
397,2015-12-24 11:00:00,10.8
398,2015-12-24 12:00:00,12.4
399,2015-12-24 13:00:00,13.6
400,2015-12-24 14:00:00,14.0
401,2015-12-24 15:00:00,14.3
402,2015-12-24 16:00:00,13.8
403,2015-12-24 17:00:00,12.8
404,2015-12-24 18:00:00,10.8
405,2015-12-24 19:00:00,9.7
406,2015-12-24 20:00:00,8.8
407,2015-12-24 21:00:00,8.4
408,2015-12-24 22:00:00,7.9
409,2015-12-24 23:00:00,8.4
410,2015-12-25 00:00:00,8.7
411,2015-12-25 01:00:00,8.2
412,2015-12-25 02:00:00,8.4
413,2015-12-25 03:00:00,8.1
414,2015-12-25 04:00:00,8.1
415,2015-12-25 05:00:00,8.1
416,2015-12-25 06:00:00,8.1
417,2015-12-25 07:00:00,7.7
418,2015-12-25 08:00:00,7.5
419,2015-12-25 09:00:00,7.8
420,2015-12-25 10:00:00,8.6
421,2015-12-25 11:00:00,9.9
422,2015-12-25 12:00:00,11.8
423,2015-12-25 13:00:00,12.5
424,2015-12-25 14:00:00,13.5
425,2015-12-25 15:00:00,14.4
426,2015-12-25 16:00:00,13.9
427,2015-12-25 17:00:00,11.8
428,2015-12-25 18:00:00,11.0
429,2015-12-25 19:00:00,9.7
430,2015-12-25 20:00:00,9.2
431,2015-12-25 21:00:00,9.6
432,2015-12-25 22:00:00,10.0
433,2015-12-25 23:00:00,9.0
434,2015-12-26 00:00:00,8.9
435,2015-12-26 01:00:00,9.1
436,2015-12-26 02:00:00,8.7
437,2015-12-26 03:00:00,8.2
438,2015-12-26 04:00:00,7.5
439,2015-12-26 05:00:00,7.9
440,2015-12-26 06:00:00,7.6
441,2015-12-26 07:00:00,7.8
442,2015-12-26 08:00:00,8.3
443,2015-12-26 09:00:00,8.4
444,2015-12-26 10:00:00,10.3
445,2015-12-26 11:00:00,12.1
446,2015-12-26 12:00:00,14.1
447,2015-12-26 13:00:00,14.5
448,2015-12-26 14:00:00,15.7
449,2015-12-26 15:00:00,16.7
450,2015-12-26 16:00:00,15.3
451,2015-12-26 17:00:00,13.5
452,2015-12-26 18:00:00,11.3
453,2015-12-26 19:00:00,10.3
454,2015-12-26 20:00:00,11.3
455,2015-12-26 21:00:00,10.9
456,2015-12-26 22:00:00,9.1
457,2015-12-26 23:00:00,8.4
458,2015-12-27 00:00:00,9.2
459,2015-12-27 02:00:00,8.5
460,2015-12-27 03:00:00,8.5
461,2015-12-27 04:00:00,8.4
462,2015-12-27 05:00:00,7.7
463,2015-12-27 06:00:00,7.8
464,2015-12-27 07:00:00,8.0
465,2015-12-27 08:00:00,7.8
466,2015-12-27 09:00:00,8.2
467,2015-12-27 10:00:00,9.7
468,2015-12-27 11:00:00,11.3
469,2015-12-27 12:00:00,12.7
470,2015-12-27 13:00:00,14.0
471,2015-12-27 14:00:00,15.1
472,2015-12-27 15:00:00,16.1
473,2015-12-27 16:00:00,14.9
474,2015-12-27 17:00:00,12.7
475,2015-12-27 18:00:00,9.8
476,2015-12-27 19:00:00,8.4
477,2015-12-27 20:00:00,7.6
478,2015-12-27 21:00:00,7.2
479,2015-12-27 22:00:00,6.9
480,2015-12-27 23:00:00,8.4
481,2015-12-28 00:00:00,8.5
482,2015-12-28 01:00:00,9.0
483,2015-12-28 02:00:00,9.1
484,2015-12-28 03:00:00,8.3
485,2015-12-28 04:00:00,7.3
486,2015-12-28 05:00:00,7.8
487,2015-12-28 06:00:00,7.7
488,2015-12-28 07:00:00,8.1
489,2015-12-28 08:00:00,7.2
490,2015-12-28 09:00:00,7.5
491,2015-12-28 10:00:00,9.6
492,2015-12-28 11:00:00,11.0
493,2015-12-28 12:00:00,12.8
494,2015-12-28 13:00:00,13.8
495,2015-12-28 14:00:00,14.8
496,2015-12-28 15:00:00,15.1
497,2015-12-28 16:00:00,14.5
498,2015-12-28 17:00:00,12.4
499,2015-12-28 18:00:00,9.8
500,2015-12-28 19:00:00,8.3
501,2015-12-28 20:00:00,7.3
502,2015-12-28 21:00:00,6.6
503,2015-12-28 22:00:00,6.5
504,2015-12-28 23:00:00,6.3
505,2015-12-29 01:00:00,6.1
506,2015-12-29 02:00:00,6.4
507,2015-12-29 03:00:00,6.8
508,2015-12-29 04:00:00,6.9
509,2015-12-29 05:00:00,6.9
510,2015-12-29 06:00:00,7.0
511,2015-12-29 07:00:00,6.9
512,2015-12-29 08:00:00,7.1
513,2015-12-29 09:00:00,7.8
514,2015-12-29 10:00:00,8.7
515,2015-12-29 11:00:00,10.3
516,2015-12-29 12:00:00,11.4
517,2015-12-29 13:00:00,12.5
518,2015-12-29 14:00:00,12.7
519,2015-12-29 15:00:00,12.8
520,2015-12-29 16:00:00,12.4
521,2015-12-29 17:00:00,11.8
522,2015-12-29 18:00:00,10.9
523,2015-12-29 19:00:00,9.5
524,2015-12-29 20:00:00,8.6
525,2015-12-29 21:00:00,8.9
526,2015-12-29 22:00:00,8.7
527,2015-12-29 23:00:00,7.7
528,2015-12-30 00:00:00,6.8
529,2015-12-30 01:00:00,7.3
530,2015-12-30 02:00:00,7.4
531,2015-12-30 03:00:00,8.0
532,2015-12-30 04:00:00,7.9
533,2015-12-30 05:00:00,7.3
534,2015-12-30 06:00:00,7.1
535,2015-12-30 07:00:00,7.0
536,2015-12-30 08:00:00,6.9
537,2015-12-30 10:00:00,8.6
538,2015-12-30 11:00:00,9.9
539,2015-12-30 12:00:00,11.2
540,2015-12-30 13:00:00,12.5
541,2015-12-30 14:00:00,12.8
542,2015-12-30 15:00:00,13.2
543,2015-12-30 16:00:00,12.6
544,2015-12-30 17:00:00,11.6
545,2015-12-30 18:00:00,11.2
546,2015-12-30 20:00:00,11.2
547,2015-12-30 21:00:00,11.0
548,2015-12-30 23:00:00,10.9
549,2015-12-31 00:00:00,10.9
550,2015-12-31 01:00:00,10.4
551,2015-12-31 02:00:00,10.4
552,2015-12-31 03:00:00,9.9
553,2015-12-31 04:00:00,9.5
554,2015-12-31 05:00:00,8.8
555,2015-12-31 06:00:00,7.9
556,2015-12-31 07:00:00,7.9
557,2015-12-31 08:00:00,7.4
558,2015-12-31 09:00:00,7.4
559,2015-12-31 10:00:00,9.3
560,2015-12-31 11:00:00,10.1
561,2015-12-31 12:00:00,10.3
562,2015-12-31 13:00:00,10.7
563,2015-12-31 14:00:00,10.7
564,2015-12-31 15:00:00,11.2
565,2015-12-31 16:00:00,10.4
566,2015-12-31 17:00:00,9.2
567,2015-12-31 18:00:00,8.1
568,2015-12-31 19:00:00,7.5
569,2015-12-31 21:00:00,6.9
570,2015-12-31 22:00:00,6.8
571,2015-12-31 23:00:00,7.1
